Sub Category page,WEB URL,public/images path
Direct to Film (DTF),/custom-apparel/printing-options/dtf-printing,dtf-printing
Dye-Sublimation,/custom-apparel/printing-options/dye-sublimation-printing,dye-sublimation-printing
Screen Printing,/custom-apparel/printing-options/screen-printing,screen-printing
Embroidery,/custom-apparel/printing-options/embroidery,embroidery
Rhinestone,/custom-apparel/printing-options/rhinestone-apparel,rhinestone-apparel
Digital Vinyl,/custom-apparel/printing-options/digital-vinyl,digital-vinyl
Glitter,/custom-apparel/specialty-materials/glitter-shirts,glitter-shirts
Puff,/custom-apparel/specialty-materials/puff-shirts,puff-shirts
Glow in the Dark,/custom-apparel/specialty-materials/glow-in-the-dark-shirts,glow-in-the-dark-shirts
Flock,/custom-apparel/specialty-materials/flock-shirts,flock-shirts
Brick,/custom-apparel/specialty-materials/brick-shirts,brick-shirts
Holographic,/custom-apparel/specialty-materials/holographic-shirts,holographic-shirts
Foil,/custom-apparel/specialty-materials/foil-shirts,foil-shirts
Reflective,/custom-apparel/specialty-materials/reflective-shirts,reflective-shirts
Vinyl,/custom-apparel/specialty-materials/vinyl,vinyl
Chameleon (Future),/custom-apparel/specialty-materials/chameleon-shirts,chameleon-shirts
Family Reunion,/custom-apparel/group-wear/reunion-wear-shirts,reunion-wear-shirts
Spirit Wear,/custom-apparel/group-wear/spirit-wear-shirts,spirit-wear-shirts
Corporate Wear,/custom-apparel/group-wear/corporate-wear-shirts,corporate-wear-shirts
Banners,/signs/business-signs/banners,banners
Window Signs,/signs/business-signs/window-signs,window-signs
Wall Signs,/signs/business-signs/wall-signs,wall-signs
Floor Signs,/signs/business-signs/floor-signs,floor-signs
Door Signs,/signs/business-signs/door-signs,door-signs
Posters,/signs/business-signs/posters,posters
Backlit (Future),/signs/business-signs/backlit-signs,backlit-signs
Outdoor (Future),/signs/business-signs/outdoor-signs,outdoor-signs
Backdrops (Future),/signs/business-signs/backdrop-signs,backdrop-signs
Yard Signs,/signs/ground-signs/yard-signs,yard-signs
A-Frame/Sidewalk Signs,/signs/ground-signs/sidewalk-signs-a-frame-signs,sidewalk-signs-a-frame-signs
Parking Signs (Future),/signs/ground-signs/parking-signs,parking-signs
Table Cloths,/signs/table-signs/table-cloths,table-cloths
Table Runners,/signs/table-signs/table-runners,table-runners
Automobile Graphics,/vehicle-graphics/automobile-graphics,automobile-graphics
Vehicle Magnets,/vehicle-graphics/vehicle-magnets,vehicle-magnets
DOT Decals,/vehicle-graphics/dot-decals,dot-decals
Standard,/stickers/standard-stickers-decals,standard-stickers-decals
Custom Shaped,/stickers/custom-shaped-stickers-decals,custom-shaped-stickers-decals
Mugs,/promotional-items/mugs,mugs
Can Koozies,/promotional-items/can-koozies,can-koozies
Towels,/promotional-items/towels,towels
Drink Coasters,/promotional-items/drink-coasters,drink-coasters
Drawstring/Tote Bags,/promotional-items/tote-bags,tote-bags
Mouse Pads,/promotional-items/mouse-pads,mouse-pads
