Page Name,Blade File,Page URL,Primary Dir,Slot,Filename,Image Dir,Round,Date,Cross-sell,Collision File(s),Carousel Count,Not-placed Count,Not-placed Files
brick-shirts,custom-apparel/brick-shirts.blade.php,/custom-apparel/brick-shirts,brick-shirts,Banner,top5pct-brick-vinyl-hoodies-r5.jpg,brick-shirts,R5,"Jun 30, 2026",No,top5pct-brick-vinyl-hoodies.jpg,4,7,top5pct-brick-vinyl-cresthill.jpg | top5pct-brick-vinyl-custom-shirts-joliet.jpg | top5pct-brick-vinyl-custom-t-shirt.jpg | top5pct-brick-vinyl-hoodies.jpg | top5pct-brick-vinyl-jackets-joliet.jpg | top5pct-brick-vinyl-shorewood.jpg | top5pct-customized-brick-vinyl-shirts.jpg
brick-shirts,custom-apparel/brick-shirts.blade.php,/custom-apparel/brick-shirts,brick-shirts,Carousel 1,top5pct-brick-vinyl-custom-t-shirt-r5.jpg,brick-shirts,R5,"Jun 30, 2026",No,top5pct-brick-vinyl-custom-t-shirt.jpg,4,7,top5pct-brick-vinyl-cresthill.jpg | top5pct-brick-vinyl-custom-shirts-joliet.jpg | top5pct-brick-vinyl-custom-t-shirt.jpg | top5pct-brick-vinyl-hoodies.jpg | top5pct-brick-vinyl-jackets-joliet.jpg | top5pct-brick-vinyl-shorewood.jpg | top5pct-customized-brick-vinyl-shirts.jpg
brick-shirts,custom-apparel/brick-shirts.blade.php,/custom-apparel/brick-shirts,brick-shirts,Carousel 2,top5pct-customized-brick-vinyl-shirts-r5.jpg,brick-shirts,R5,"Jun 30, 2026",No,top5pct-customized-brick-vinyl-shirts.jpg,4,7,top5pct-brick-vinyl-cresthill.jpg | top5pct-brick-vinyl-custom-shirts-joliet.jpg | top5pct-brick-vinyl-custom-t-shirt.jpg | top5pct-brick-vinyl-hoodies.jpg | top5pct-brick-vinyl-jackets-joliet.jpg | top5pct-brick-vinyl-shorewood.jpg | top5pct-customized-brick-vinyl-shirts.jpg
brick-shirts,custom-apparel/brick-shirts.blade.php,/custom-apparel/brick-shirts,brick-shirts,Carousel 3,top5pct-brick-vinyl-custom-shirts-joliet-r5.jpg,brick-shirts,R5,"Jun 30, 2026",No,top5pct-brick-vinyl-custom-shirts-joliet.jpg,4,7,top5pct-brick-vinyl-cresthill.jpg | top5pct-brick-vinyl-custom-shirts-joliet.jpg | top5pct-brick-vinyl-custom-t-shirt.jpg | top5pct-brick-vinyl-hoodies.jpg | top5pct-brick-vinyl-jackets-joliet.jpg | top5pct-brick-vinyl-shorewood.jpg | top5pct-customized-brick-vinyl-shirts.jpg
brick-shirts,custom-apparel/brick-shirts.blade.php,/custom-apparel/brick-shirts,brick-shirts,Carousel 4,top5pct-brick-vinyl-shorewood-r5.jpg,brick-shirts,R5,"Jun 30, 2026",No,top5pct-brick-vinyl-shorewood.jpg,4,7,top5pct-brick-vinyl-cresthill.jpg | top5pct-brick-vinyl-custom-shirts-joliet.jpg | top5pct-brick-vinyl-custom-t-shirt.jpg | top5pct-brick-vinyl-hoodies.jpg | top5pct-brick-vinyl-jackets-joliet.jpg | top5pct-brick-vinyl-shorewood.jpg | top5pct-customized-brick-vinyl-shirts.jpg
brick-shirts,custom-apparel/brick-shirts.blade.php,/custom-apparel/brick-shirts,brick-shirts,Card 1,top5pct-brick-vinyl-jackets-joliet-r5.jpg,brick-shirts,R5,"Jun 30, 2026",No,top5pct-brick-vinyl-jackets-joliet.jpg,4,7,top5pct-brick-vinyl-cresthill.jpg | top5pct-brick-vinyl-custom-shirts-joliet.jpg | top5pct-brick-vinyl-custom-t-shirt.jpg | top5pct-brick-vinyl-hoodies.jpg | top5pct-brick-vinyl-jackets-joliet.jpg | top5pct-brick-vinyl-shorewood.jpg | top5pct-customized-brick-vinyl-shirts.jpg
brick-shirts,custom-apparel/brick-shirts.blade.php,/custom-apparel/brick-shirts,brick-shirts,Card 2,top5pct-brick-vinyl-cresthill-r5.jpg,brick-shirts,R5,"Jun 30, 2026",No,top5pct-brick-vinyl-cresthill.jpg,4,7,top5pct-brick-vinyl-cresthill.jpg | top5pct-brick-vinyl-custom-shirts-joliet.jpg | top5pct-brick-vinyl-custom-t-shirt.jpg | top5pct-brick-vinyl-hoodies.jpg | top5pct-brick-vinyl-jackets-joliet.jpg | top5pct-brick-vinyl-shorewood.jpg | top5pct-customized-brick-vinyl-shirts.jpg
brick-shirts,custom-apparel/brick-shirts.blade.php,/custom-apparel/brick-shirts,brick-shirts,Detailed-info 1,top5pct-custom-brick-shirts-hoodies-cap-joliet.jpg,custom-shirts,≤R2,"≤Jun 3, 2026",Yes,none,4,7,top5pct-brick-vinyl-cresthill.jpg | top5pct-brick-vinyl-custom-shirts-joliet.jpg | top5pct-brick-vinyl-custom-t-shirt.jpg | top5pct-brick-vinyl-hoodies.jpg | top5pct-brick-vinyl-jackets-joliet.jpg | top5pct-brick-vinyl-shorewood.jpg | top5pct-customized-brick-vinyl-shirts.jpg
brick-shirts,custom-apparel/brick-shirts.blade.php,/custom-apparel/brick-shirts,brick-shirts,Slide-L,top5pct-glitter-sweatshirts-joliet.jpg,glitter-shirts,≤R2,"≤Jun 3, 2026",Yes,none,4,7,top5pct-brick-vinyl-cresthill.jpg | top5pct-brick-vinyl-custom-shirts-joliet.jpg | top5pct-brick-vinyl-custom-t-shirt.jpg | top5pct-brick-vinyl-hoodies.jpg | top5pct-brick-vinyl-jackets-joliet.jpg | top5pct-brick-vinyl-shorewood.jpg | top5pct-customized-brick-vinyl-shirts.jpg
brick-shirts,custom-apparel/brick-shirts.blade.php,/custom-apparel/brick-shirts,brick-shirts,Slide-R,top5pct-custom-flock-t-shirt-printing.jpg,flock-shirts,≤R2,"≤Jun 3, 2026",Yes,none,4,7,top5pct-brick-vinyl-cresthill.jpg | top5pct-brick-vinyl-custom-shirts-joliet.jpg | top5pct-brick-vinyl-custom-t-shirt.jpg | top5pct-brick-vinyl-hoodies.jpg | top5pct-brick-vinyl-jackets-joliet.jpg | top5pct-brick-vinyl-shorewood.jpg | top5pct-customized-brick-vinyl-shirts.jpg
